posteam,epa
CIN,0.702402571681887
CLE,0.393390181474388
CLE,-4.09295813826611
CLE,-0.0091102319420315
CLE,0.0704465837043244
CLE,0.10097782293451
DAL,0.344347178586759
DAL,3.06707302044379
PHI,0.552650292403996
PHI,0.266779161989689
PHI,0.190153431612998
PHI,2.29214514576597
DAL,1.77552366023883
DAL,2.45059084624518
DAL,-0.687983325915411
DAL,-0.473374426946975
PHI,0.555401087272912
PHI,-0.285567590035498
PHI,1.28535311296582
PHI,-0.430872592609376
PHI,1.06643941416405
PHI,1.44169895356754
PHI,2.27911605592817
DAL,-0.273257527966052
DAL,1.23882315563969
DAL,-0.270603415730875
DAL,-0.426314116688445
DAL,-0.410054437175859
DAL,-0.717567192459289
PHI,-0.515209543053061
PHI,3.72801848780364
PHI,-0.401088450045791
PHI,0.675303220981732
PHI,0.511088427563664
PHI,0.166472129349131
DAL,0.90472270391183
DAL,-0.0908708939095959
DAL,-0.287359912705142
DAL,0.360129374952521
DAL,0.262812394474167
PHI,0.0729459878057241
PHI,0.731964903650805
PHI,-0.258798455586657
PHI,-2.0366979597602
PHI,-1.51156951696861
DAL,-0.502510933205485
DAL,-0.453970552771352
DAL,-0.476946658454835
PHI,-0.789402016904205
PHI,-0.467003844678402
DAL,0.286080053541809
DAL,1.34157721651718
DAL,-1.08461338537745
DAL,-1.56350352778099
PHI,0.539945995435119
PHI,0.363901168340817
PHI,0.368475484661758
PHI,-0.825948749668896
PHI,-0.44213400199078
DAL,0.673461203929037
DAL,-0.186018112348393
DAL,-0.84064312139526
PHI,-0.294946495094337
PHI,-0.565623112954199
DAL,-0.0038879208732396
DAL,-0.510342098772526
DAL,1.56293665640987
DAL,-0.42467600654345
DAL,-0.513200922054239
DAL,-0.546694695716724
DAL,-2.61087334842887
PHI,0.0784624250954948
PHI,-0.106806865718681
GB,2.06588959461078
GB,-0.861917777685449
GB,2.28035446978174
GB,-0.627084731822833
GB,1.97620118747
GB,-0.395205917302519
GB,-0.787854367867112
GB,3.11628698313143
DET,-0.525328056421131
DET,-1.59584141429514
GB,-0.512385591631755
GB,3.00028615968768
GB,-0.52093735273229
GB,-1.62363376250991
DET,-0.687914677662775
DET,2.26093482831493
DET,1.90733360906597
DET,1.3869755534688
DET,0.0779083243105561
DET,-1.28363665420527
GB,3.30224526545499
GB,2.30886851053219
DET,0.225981381488964
DET,0.61361558153294
DET,1.0484583239886
DET,-0.369093117478769
DET,-0.605577830865514
DET,2.56794491963228
DET,-0.490909047715832
DET,-3.83388806990115
GB,0.114450669148937
GB,-0.290210940293036
DET,0.0392352810595185
DET,2.51709989807569
DET,-0.429630028782412
DET,1.66005401103757
DET,-0.479567611822859
DET,-0.145045737034433
DET,0.0211612493731081
DET,0.923733327537775
DET,-0.234055168228224
DET,-1.80101195396855
GB,1.08011747919954
GB,-0.185247038723901
GB,-0.788650778587908
GB,-0.44810777832754
GB,-1.62241287878715
DET,-1.63316155876964
GB,-0.515757150715217
HOU,-0.78576101642102
LA,-0.355167382396758
LA,0.831036881543696
LA,-0.243048378964886
LA,-0.881773174507543
LA,1.81291738781147
LA,-1.72106653917581
HOU,-0.206309233792126
HOU,1.54676080681384
HOU,1.46215290250257
HOU,1.38727245177142
HOU,-0.878136068116874
HOU,1.96832762844861
HOU,-0.524240871891379
HOU,-1.11040013090891
LA,-0.631138623226434
LA,2.68827146361582
LA,-0.524859688943252
LA,-1.42701919912361
HOU,0.342231394723058
HOU,-2.6262587714009
HOU,-0.403800779953599
LA,-0.614353739190847
LA,-0.771234652493149
HOU,-0.459102697146591
HOU,-1.74724167387921
LA,1.55711942125345
LA,1.643792021845
HOU,-0.104373107897118
HOU,1.12791303143604
HOU,-0.338944223884027
HOU,1.12609663522405
LA,-1.11050444375724
LA,1.75622949330136
LA,2.69348910707049
LA,1.54268791305367
HOU,1.14526372170076
HOU,0.733052771771327
HOU,1.43302921159193
HOU,-1.69297790015116
HOU,-3.48693259735592
LA,-1.99832259351388
HOU,1.68487523053773
HOU,1.35762152937241
HOU,-0.628147411625832
LA,-0.189342631492764
LA,1.23447680054232
LA,-0.840659485664219
LA,2.30762016237713
LA,-0.975579531397671
LA,0.273378561483696
LA,-2.99763313517906
HOU,0.336931131314486
HOU,-0.631294521968812
HOU,-0.127440189477056
LA,-0.0061924762558192
LA,-0.820524153066799
LA,1.71370826894417
LA,1.99777229619212
LA,-5.69549815251958
HOU,0.178785383468494
HOU,-0.0859948802972212
HOU,-0.558500816463493
HOU,0.840034691616893
HOU,-4.94662074086955
KC,-1.56532017653808
LAC,0.131305721355602
LAC,2.50904264720157
LAC,0.642635301919654
LAC,-0.919890743563883
LAC,2.38263175252359
KC,0.879578416468576
KC,1.1215110020712
KC,0.135889314115047
KC,-0.636920416494831
KC,-2.00219140620902
LAC,-0.611279967240989
LAC,0.410590354353189
KC,-0.532284853281453
KC,-1.63075881078839
LAC,1.46411676192656
LAC,-0.567525266902521
LAC,0.9693835277576
LAC,1.24141400400549
LAC,-0.0763386224862188
LAC,-0.64774235477671
LAC,0.187927677915647
KC,0.297621665289626
KC,-0.893235427560285
KC,-0.906950884498656
KC,0.35130230570212
KC,-0.197040964616463
KC,0.3107003797777
KC,-1.35362346144393
KC,2.01879800437018
KC,1.27106566180009
KC,-0.43410133512225
KC,-0.772517357254401
KC,-1.16600435322706
LAC,-0.590669448953122
LAC,1.67796996585093
LAC,2.01685319654644
LAC,-0.44107936770888
LAC,-0.447980348370038
LAC,0.693409273517318
LAC,-0.26873378304299
KC,2.1413412571419
KC,-0.295226768299472
KC,0.692610391819065
LAC,-0.795737323816866
LAC,-1.46447427244857
KC,0.741985259577632
KC,0.87298888573423
KC,1.59759026183747
KC,0.390907272463664
KC,-0.870955289807171
KC,2.56219404248986
KC,-0.351754500064999
KC,0.628047639736906
KC,1.80858501140028
LAC,-1.97134124441072
LAC,0.651093430351466
LAC,0.171837469330058
LAC,1.57658667000942
LAC,1.22441725770477
LAC,-0.703207155922428
LAC,2.5255751243094
KC,-0.9058567059692
KC,1.94141947315075
KC,-0.214997748611495
KC,1.41616528993472
KC,3.45750072156079
KC,-0.947
LAC,0.317798633594066
LAC,0.377312470460311
LAC,-0.312895666342229
LAC,1.78615830955096
LAC,0.382751590106636
LAC,0.657012928277254
LAC,0.753410203440581
LAC,2.57100648753112
KC,-0.826723969075829
KC,1.57960641419049
KC,-0.17711830616463
KC,-0.929131473181769
KC,-1.39059124805499
KC,-0.582547954982147
KC,-0.73526077833958
KC,-0.713425388044558
LAC,1.1171776370611
LAC,-1.19809782784432
LAC,1.54157784330891
LV,1.54025448672473
LV,0.641463910229504
LV,-0.604663402424194
LV,4.1076545373071
NE,-0.515878451988101
NE,-1.59652856667526
LV,-0.564445918425918
LV,0.786198849324137
LV,-1.30658199172467
LV,2.65229762159288
LV,-0.838644558098167
LV,2.97411069856025
LV,-0.561922827968374
LV,-3.48484937846661
NE,0.107013237196952
NE,-0.787334842607379
NE,2.43033661693335
NE,-0.512119107879698
NE,-0.859792993869633
NE,2.96116666228045
NE,0.826556076121051
NE,-0.798957247869112
NE,1.78926187043544
LV,-1.75159764708951
NE,-0.309336881618947
NE,1.57949235802516
NE,1.62507073720917
NE,-0.411091394140385
NE,1.34514276083792
NE,-0.744621793157421
NE,-0.629859378665289
LV,-0.170363282319158
LV,-1.28317851154134
NE,-0.31882209982723
NE,2.36041318881325
NE,-1.06684931943892
