team,season,pass_off_epa,pass_off_success,rush_off_epa,rush_off_success,pass_def_epa,pass_def_success_allowed,rush_def_epa,rush_def_success_allowed,stuff_rate,stuff_rate_allowed,int_worthy_throw_rate,n_plays,pass_off_epa_pct,rush_off_epa_pct,pass_off_success_pct,rush_off_success_pct,pass_def_epa_pct,rush_def_epa_pct,pass_def_success_allowed_pct,rush_def_success_allowed_pct,stuff_rate_pct,stuff_rate_allowed_pct,int_worthy_throw_rate_pct
DET,2025,0.16848,0.48577,-0.05476,0.41099,0.01430,0.42602,-0.00145,0.42398,0.17801,0.14035,0.01423,944,80.64516,35.48387,77.41935,35.48387,61.29032,22.58065,22.58065,48.38710,48.38710,9.67742,0.00000
GB,2025,0.28801,0.52199,-0.05594,0.44584,-0.12415,0.44403,0.04429,0.45803,0.16373,0.16067,0.01721,920,96.77419,29.03226,87.09677,77.41935,29.03226,51.61290,32.25806,87.09677,35.48387,22.58065,3.22581
HOU,2025,0.04747,0.44799,-0.12670,0.37209,0.09151,0.39478,0.14275,0.36982,0.21705,0.19231,0.03020,983,51.61290,16.12903,35.48387,12.90323,90.32258,96.77419,3.22581,9.67742,87.09677,74.19355,70.96774
IND,2025,0.11397,0.46801,0.07482,0.45380,-0.07882,0.48485,0.07898,0.43052,0.14946,0.19074,0.03291,915,70.96774,96.77419,64.51613,83.87097,38.70968,70.96774,70.96774,54.83871,22.58065,67.74194,83.87097
JAX,2025,0.07854,0.47739,0.00119,0.42857,0.07993,0.44634,0.11465,0.35986,0.18681,0.18339,0.03015,961,64.51613,74.19355,70.96774,64.51613,83.87097,90.32258,38.70968,3.22581,58.06452,51.61290,67.74194
KC,2025,0.05032,0.46260,-0.01886,0.42722,-0.05835,0.47320,0.09879,0.39344,0.13608,0.17760,0.02748,971,54.83871,64.51613,58.06452,58.06452,48.38710,87.09677,61.29032,19.35484,9.67742,45.16129,45.16129
LA,2025,0.21170,0.52579,0.03660,0.51268,0.04879,0.44765,0.07797,0.37662,0.12676,0.12468,0.02329,956,93.54839,80.64516,90.32258,100.00000,70.96774,67.74194,41.93548,12.90323,6.45161,3.22581,29.03226
LAC,2025,0.01564,0.45888,-0.06038,0.39766,0.05811,0.41509,0.09364,0.40303,0.22222,0.22424,0.02961,950,29.03226,25.80645,54.83871,22.58065,74.19355,83.87097,12.90323,29.03226,90.32258,96.77419,61.29032
LV,2025,-0.22037,0.38911,-0.24267,0.32890,-0.07590,0.45825,0.01165,0.43989,0.25249,0.21038,0.02823,797,3.22581,0.00000,9.67742,0.00000,41.93548,29.03226,51.61290,70.96774,100.00000,90.32258,54.83871
MIA,2025,-0.01864,0.42694,-0.02352,0.41593,-0.16020,0.53057,0.01478,0.44231,0.20944,0.18681,0.04566,777,25.80645,61.29032,22.58065,38.70968,19.35484,32.25806,100.00000,77.41935,77.41935,64.51613,100.00000
MIN,2025,-0.14735,0.42137,-0.05236,0.44582,0.11629,0.39749,0.07045,0.43614,0.16409,0.20241,0.03629,819,12.90323,38.70968,12.90323,74.19355,100.00000,64.51613,6.45161,67.74194,38.70968,83.87097,93.54839
NE,2025,0.33280,0.55867,-0.04972,0.40616,0.03888,0.44960,0.05907,0.45428,0.21289,0.17404,0.02277,928,100.00000,48.38710,100.00000,25.80645,67.74194,61.29032,45.16129,80.64516,80.64516,38.70968,22.58065
NO,2025,-0.03966,0.45675,-0.14247,0.36769,-0.02125,0.45174,0.08602,0.40898,0.18106,0.17456,0.02768,937,19.35484,6.45161,51.61290,9.67742,58.06452,77.41935,48.38710,35.48387,54.83871,41.93548,48.38710
NYG,2025,0.03375,0.42545,-0.05577,0.39659,-0.06295,0.46491,-0.13244,0.47429,0.15572,0.19143,0.03091,961,38.70968,32.25806,19.35484,19.35484,45.16129,0.00000,58.06452,100.00000,25.80645,70.96774,74.19355
NYJ,2025,-0.20534,0.37389,-0.12964,0.40833,-0.29208,0.49630,0.00280,0.42432,0.19722,0.18362,0.01991,812,6.45161,12.90323,6.45161,32.25806,0.00000,25.80645,74.19355,51.61290,67.74194,54.83871,9.67742
PHI,2025,0.03588,0.43599,-0.01332,0.42192,0.08191,0.41488,0.11569,0.41176,0.23014,0.14951,0.02041,904,41.93548,70.96774,29.03226,45.16129,87.09677,93.54839,9.67742,38.70968,96.77419,16.12903,16.12903
PIT,2025,0.03733,0.43551,0.04968,0.45845,-0.03290,0.44541,0.03116,0.39516,0.16332,0.16398,0.02430,884,45.16129,83.87097,25.80645,87.09677,54.83871,48.38710,35.48387,22.58065,32.25806,25.80645,35.48387
SEA,2025,0.13230,0.52869,-0.02683,0.42239,0.06205,0.42714,0.20126,0.35952,0.20356,0.20544,0.03484,881,77.41935,58.06452,93.54839,51.61290,77.41935,100.00000,25.80645,0.00000,74.19355,87.09677,90.32258
SF,2025,0.19432,0.53565,-0.01882,0.43003,-0.16596,0.49909,0.05351,0.46939,0.18066,0.18659,0.03130,968,87.09677,67.74194,96.77419,67.74194,16.12903,54.83871,77.41935,93.54839,51.61290,61.29032,77.41935
TB,2025,0.05279,0.44670,-0.06438,0.40704,-0.09150,0.49915,0.08180,0.37821,0.18844,0.23718,0.02369,989,58.06452,22.58065,32.25806,29.03226,35.48387,74.19355,80.64516,16.12903,61.29032,100.00000,32.25806
TEN,2025,-0.19428,0.36382,-0.16021,0.34539,-0.21643,0.50093,-0.01273,0.41956,0.16447,0.19558,0.02846,796,9.67742,3.22581,3.22581,6.45161,6.45161,16.12903,87.09677,41.93548,45.16129,77.41935,58.06452
WAS,2025,0.02706,0.47189,-0.04477,0.41860,-0.21352,0.50090,-0.05542,0.46997,0.20058,0.16449,0.02610,842,35.48387,51.61290,67.74194,41.93548,9.67742,12.90323,83.87097,96.77419,70.96774,29.03226,41.93548
