team,week,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed
BUF,15,2025,1,61,33,28,0.27809,0.28904,0.26520,0.47541,-0.24430,0.01545,-0.58670,0.54902
BUF,16,2025,1,48,23,25,0.06078,-0.34324,0.43248,0.54167,0.09588,0.26376,-0.13418,0.46875
BUF,17,2025,1,73,43,30,-0.12071,-0.25990,0.07879,0.38356,0.08632,0.05830,0.12197,0.32000
BUF,18,2025,1,55,29,26,0.33379,0.71571,-0.09219,0.58182,0.47852,0.61047,0.34657,0.22222
CAR,1,2025,1,46,27,19,-0.36340,-0.55133,-0.09634,0.34783,-0.17592,-0.01783,-0.42294,0.51220
CAR,2,2025,1,51,34,17,-0.27339,-0.30925,-0.20167,0.35294,-0.19592,-0.41253,0.17540,0.42105
CAR,3,2025,1,41,23,18,-0.05535,-0.04245,-0.07184,0.48780,0.36648,0.51294,-0.06166,0.33333
CAR,4,2025,1,46,28,18,-0.12488,-0.18541,-0.03073,0.50000,-0.47252,-0.99090,0.01994,0.46154
CAR,5,2025,1,62,33,29,0.15927,-0.01953,0.36273,0.46774,-0.09527,-0.26958,0.44106,0.35849
CAR,6,2025,1,62,27,35,0.15938,0.10509,0.20127,0.58065,-0.17961,-0.52192,0.46697,0.40385
CAR,7,2025,1,65,35,30,-0.08571,-0.15206,-0.00830,0.40000,0.25577,0.33351,0.04196,0.30000
CAR,8,2025,1,42,23,19,-0.53581,-0.83428,-0.17451,0.33333,-0.47727,-0.36635,-0.56045,0.55102
CAR,9,2025,1,54,23,31,0.09464,0.01115,0.15658,0.50000,-0.04252,-0.15526,0.12884,0.50794
CAR,10,2025,1,50,27,23,-0.41942,-0.42585,-0.41188,0.36000,-0.14083,-0.30131,0.05977,0.40741
CAR,11,2025,1,76,52,24,0.12749,0.27389,-0.18970,0.40789,-0.12682,-0.25630,0.02185,0.51724
CAR,12,2025,1,42,33,9,-0.22472,-0.29223,0.02282,0.40476,-0.02110,0.06871,-0.12021,0.47541
CAR,13,2025,1,59,24,35,0.23760,0.62730,-0.02963,0.40678,-0.13982,0.11707,-0.52515,0.60000
CAR,15,2025,1,56,31,25,0.11013,0.34495,-0.18105,0.37500,-0.10644,-0.25244,0.17165,0.50820
CAR,16,2025,1,53,36,17,0.10059,0.11085,0.07886,0.43396,-0.10685,-0.24125,0.02755,0.43333
CAR,17,2025,1,47,30,17,-0.46595,-0.53368,-0.34641,0.38298,0.11238,0.27061,-0.05677,0.38333
CAR,18,2025,1,45,32,13,-0.12238,0.05860,-0.56788,0.42222,-0.00716,-0.35900,0.25421,0.44262
CHI,1,2025,1,61,41,20,-0.09199,-0.03679,-0.20515,0.37705,0.17689,0.35233,-0.00557,0.41176
CHI,2,2025,1,45,29,16,-0.25335,-0.08456,-0.55930,0.35556,-0.41304,-0.63339,-0.15262,0.56250
CHI,3,2025,1,45,23,22,0.42723,0.81694,0.01982,0.51111,-0.11405,-0.17774,-0.01454,0.51220
CHI,4,2025,1,64,42,22,-0.12057,-0.03132,-0.29096,0.42188,0.19576,0.34013,0.08624,0.52941
CHI,6,2025,1,59,34,25,0.16553,0.12639,0.21875,0.52542,0.06370,-0.27801,0.56202,0.44068
CHI,7,2025,1,54,25,29,0.09554,0.03797,0.14516,0.46296,0.29780,0.32496,0.24008,0.38000
CHI,8,2025,1,55,35,20,0.05857,0.08048,0.02023,0.43636,-0.17099,-0.30544,-0.05508,0.46296
CHI,9,2025,1,74,45,29,0.48979,0.46474,0.52867,0.58108,-0.21687,-0.34217,0.12323,0.48077
CHI,10,2025,1,62,41,21,0.02630,0.03291,0.01340,0.46774,-0.00479,0.01057,-0.02926,0.38571
CHI,11,2025,1,71,34,37,-0.00598,0.10100,-0.10428,0.46479,0.19253,0.40818,-0.12115,0.42593
CHI,12,2025,1,59,37,22,0.01379,0.03295,-0.01845,0.42373,-0.00105,0.16960,-0.16683,0.52174
CHI,13,2025,1,76,37,39,0.04791,-0.17770,0.26196,0.47368,0.28189,0.27313,0.29231,0.37143
CHI,14,2025,1,69,39,30,0.10808,0.05384,0.17860,0.52174,-0.23984,-0.30874,-0.16819,0.52941
CHI,15,2025,1,54,27,27,0.14612,0.23440,0.05783,0.50000,0.57222,0.64897,0.38032,0.08571
CHI,16,2025,1,60,37,23,0.10064,0.23791,-0.12020,0.46667,-0.06088,-0.38150,0.20774,0.50000
CHI,17,2025,1,63,45,18,0.36258,0.39410,0.28377,0.49206,-0.28495,-0.36186,-0.18754,0.51471
CHI,18,2025,1,54,36,18,-0.01936,-0.05394,0.04980,0.44444,-0.14435,-0.21318,-0.02963,0.54167
CIN,1,2025,1,49,28,21,-0.10887,-0.07058,-0.15992,0.40816,0.05120,0.04428,0.06565,0.39437
