team,season,n_kickoffs,touchbacks_forced,touchback_rate,opp_avg_start_after_kickoff,n_ko_excluded_onside_kept,kickoff_epa_per_kick,n_kickoffs_received,n_kick_returns,kick_return_epa_per_return,kick_return_yards_per_return,n_punts,punt_epa_per_punt,punt_touchback_rate,punt_inside_20_rate,n_punt_returns,punt_return_epa_per_return,punt_return_yards_per_return,fg_blocks_forced,opp_fg_attempts,punt_blocks_forced,opp_punts,xp_blocks_forced,touchback_rate_pct,kickoff_epa_per_kick_pct,kick_return_epa_per_return_pct,punt_epa_per_punt_pct,punt_inside_20_rate_pct,punt_return_epa_per_return_pct,opp_avg_start_after_kickoff_pct,punt_touchback_rate_pct
LAC,2026,3,0,0.00000,27.00000,0,-0.07999,6,5,-0.13650,16.00000,3,-1.40729,0.00000,0.33333,0,,,0,5,0,3,0,17.74194,70.96774,9.67742,0.00000,28.33333,,35.48387,35.00000
LV,2026,6,1,0.16667,27.40000,1,-0.62317,3,2,1.35362,47.50000,3,0.06454,0.33333,0.33333,2,0.80671,17.50000,0,3,0,4,0,64.51613,16.12903,100.00000,63.33333,28.33333,87.50000,38.70968,86.66667
MIA,2026,3,1,0.33333,40.50000,0,-1.07586,6,5,0.67122,32.40000,4,-0.49232,0.00000,0.50000,1,-0.37382,17.00000,0,2,0,3,0,93.54839,0.00000,83.87097,23.33333,55.00000,8.33333,100.00000,35.00000
MIN,2026,7,1,0.14286,26.50000,1,-0.37709,6,5,0.80103,35.80000,4,-0.56106,0.00000,0.75000,1,0.25689,13.00000,0,3,0,3,0,48.38710,38.70968,90.32258,20.00000,88.33333,58.33333,24.19355,35.00000
NE,2026,3,0,0.00000,27.66667,0,-0.08179,4,4,0.01976,26.75000,4,-0.18712,0.00000,0.75000,0,,,0,2,0,5,0,17.74194,67.74194,25.80645,33.33333,88.33333,,41.93548,35.00000
NO,2026,6,2,0.33333,26.00000,0,-0.15789,6,5,0.06072,14.80000,5,-0.44902,0.00000,0.40000,4,0.02596,5.25000,0,1,0,7,0,93.54839,54.83871,29.03226,26.66667,36.66667,41.66667,14.51613,35.00000
NYG,2026,5,0,0.00000,24.40000,0,0.19924,4,3,-0.15632,21.66667,1,0.26146,0.00000,1.00000,0,,,0,0,0,2,0,17.74194,96.77419,6.45161,83.33333,96.66667,,3.22581,35.00000
NYJ,2026,6,3,0.50000,32.80000,0,0.27054,3,2,1.24972,0.00000,3,0.13635,0.00000,0.66667,2,0.57840,14.50000,0,1,0,7,0,100.00000,100.00000,96.77419,73.33333,80.00000,75.00000,75.80645,35.00000
PHI,2026,5,0,0.00000,34.20000,0,-0.59265,5,4,-0.09196,18.75000,7,0.03901,0.00000,0.57143,4,-0.00175,9.25000,0,2,0,6,1,17.74194,22.58065,12.90323,56.66667,70.00000,33.33333,90.32258,35.00000
PIT,2026,5,1,0.20000,31.80000,0,-0.35020,4,4,0.61431,18.50000,4,-0.05524,0.00000,0.50000,2,-0.20894,6.50000,0,4,0,6,0,79.03226,41.93548,80.64516,50.00000,55.00000,25.00000,61.29032,35.00000
SEA,2026,4,0,0.00000,25.50000,0,-0.01976,3,3,0.08179,26.66667,5,0.15385,0.00000,0.60000,1,0.59925,9.00000,0,1,0,4,0,17.74194,83.87097,35.48387,76.66667,73.33333,79.16667,9.67742,35.00000
SF,2026,6,1,0.16667,26.50000,0,-0.03564,2,2,0.91267,37.00000,2,-0.60416,0.50000,0.00000,2,0.22416,8.50000,0,0,0,3,0,64.51613,77.41935,93.54839,16.66667,8.33333,50.00000,24.19355,96.66667
TB,2026,6,0,0.00000,25.16667,0,0.00527,8,7,0.40066,29.42857,0,,,,1,0.34905,13.00000,0,4,0,1,0,17.74194,90.32258,61.29032,,,66.66667,6.45161,
TEN,2026,3,1,0.33333,30.00000,1,-0.76067,6,3,-1.11538,20.66667,7,-0.63211,0.42857,0.14286,1,-0.14383,-5.00000,0,4,0,3,0,93.54839,6.45161,0.00000,13.33333,20.00000,29.16667,54.83871,93.33333
WAS,2026,5,1,0.20000,32.80000,0,-0.04284,5,5,0.59265,30.80000,6,-0.11907,0.16667,0.00000,4,0.23354,13.25000,0,1,0,7,0,79.03226,74.19355,77.41935,40.00000,8.33333,54.16667,75.80645,78.33333
