team,season,epa_per_play_pct,epa_per_dropback_pct,epa_per_rush_pct,success_rate_pct,def_epa_per_play_pct,def_epa_per_dropback_pct,def_epa_per_rush_pct,def_success_rate_allowed_pct,explosive_rate_pct,explosive_rate_allowed_pct,int_rate_per_dropback_pct,int_diff_actual_minus_expected_pct,fumble_lost_rate_per_play_pct,fumble_lost_diff_actual_minus_expected_pct,takeaways_int_diff_pct,opp_fumble_recovery_rate_pct,qb_hit_rate_allowed_pct,sack_rate_allowed_pct,qb_hit_rate_forced_pct,sack_rate_forced_pct,points_per_game_pct,points_per_drive_pct,int_worthy_throw_rate_pct
DET,2025,74.19355,80.64516,35.48387,61.29032,58.06452,61.29032,22.58065,29.03226,83.87097,74.19355,32.25806,32.25806,67.74194,67.74194,61.29032,19.35484,83.87097,45.16129,41.93548,70.96774,88.70968,77.41935,0.00000
GB,2025,93.54839,96.77419,29.03226,90.32258,35.48387,29.03226,51.61290,54.83871,90.32258,12.90323,22.58065,25.80645,51.61290,51.61290,6.45161,35.48387,48.38710,22.58065,74.19355,25.80645,51.61290,67.74194,3.22581
HOU,2025,25.80645,51.61290,16.12903,16.12903,96.77419,90.32258,96.77419,3.22581,16.12903,25.80645,38.70968,38.70968,3.22581,0.00000,90.32258,45.16129,32.25806,29.03226,51.61290,80.64516,61.29032,32.25806,70.96774
IND,2025,80.64516,70.96774,96.77419,74.19355,45.16129,38.70968,70.96774,70.96774,70.96774,77.41935,67.74194,64.51613,54.83871,54.83871,58.06452,88.70968,51.61290,16.12903,22.58065,16.12903,77.41935,90.32258,83.87097
JAX,2025,64.51613,64.51613,74.19355,70.96774,87.09677,83.87097,90.32258,22.58065,58.06452,6.45161,64.51613,67.74194,37.09677,33.87097,93.54839,88.70968,29.03226,51.61290,25.80645,6.45161,83.87097,74.19355,67.74194
KC,2025,54.83871,54.83871,64.51613,58.06452,54.83871,48.38710,87.09677,45.16129,12.90323,19.35484,51.61290,51.61290,6.45161,6.45161,41.93548,14.51613,70.96774,54.83871,87.09677,54.83871,35.48387,41.93548,45.16129
LA,2025,96.77419,93.54839,80.64516,100.00000,74.19355,70.96774,67.74194,25.80645,96.77419,9.67742,19.35484,6.45161,61.29032,61.29032,70.96774,96.77419,25.80645,6.45161,90.32258,77.41935,100.00000,100.00000,29.03226
LAC,2025,32.25806,29.03226,25.80645,41.93548,77.41935,74.19355,83.87097,9.67742,35.48387,32.25806,74.19355,74.19355,22.58065,22.58065,96.77419,3.22581,93.54839,83.87097,61.29032,87.09677,38.70968,38.70968,61.29032
LV,2025,0.00000,3.22581,0.00000,6.45161,38.70968,41.93548,29.03226,58.06452,3.22581,45.16129,100.00000,100.00000,0.00000,3.22581,32.25806,32.25806,87.09677,98.38710,32.25806,45.16129,0.00000,0.00000,54.83871
MIA,2025,29.03226,25.80645,61.29032,19.35484,19.35484,19.35484,32.25806,100.00000,67.74194,70.96774,96.77419,93.54839,29.03226,38.70968,35.48387,62.90323,19.35484,70.96774,12.90323,51.61290,22.58065,48.38710,100.00000
MIN,2025,12.90323,12.90323,38.70968,38.70968,90.32258,100.00000,64.51613,19.35484,45.16129,29.03226,90.32258,90.32258,48.38710,48.38710,45.16129,80.64516,96.77419,98.38710,96.77419,90.32258,19.35484,22.58065,93.54839
NE,2025,100.00000,100.00000,48.38710,96.77419,70.96774,67.74194,61.29032,61.29032,100.00000,51.61290,29.03226,29.03226,74.19355,74.19355,51.61290,88.70968,58.06452,67.74194,54.83871,35.48387,96.77419,96.77419,22.58065
NO,2025,16.12903,19.35484,6.45161,22.58065,61.29032,58.06452,77.41935,38.70968,6.45161,22.58065,25.80645,22.58065,100.00000,100.00000,29.03226,62.90323,35.48387,64.51613,45.16129,83.87097,12.90323,12.90323,48.38710
NYG,2025,35.48387,38.70968,32.25806,12.90323,16.12903,45.16129,0.00000,77.41935,48.38710,96.77419,35.48387,35.48387,37.09677,33.87097,22.58065,22.58065,74.19355,77.41935,64.51613,32.25806,48.38710,51.61290,74.19355
NYJ,2025,9.67742,6.45161,12.90323,9.67742,3.22581,0.00000,25.80645,74.19355,0.00000,90.32258,48.38710,48.38710,83.87097,83.87097,0.00000,6.45161,90.32258,93.54839,6.45161,9.67742,9.67742,9.67742,9.67742
PHI,2025,51.61290,41.93548,70.96774,32.25806,93.54839,87.09677,93.54839,16.12903,54.83871,16.12903,12.90323,16.12903,45.16129,45.16129,54.83871,38.70968,9.67742,58.06452,77.41935,61.29032,41.93548,35.48387,16.12903
PIT,2025,58.06452,45.16129,83.87097,48.38710,51.61290,54.83871,48.38710,32.25806,32.25806,58.06452,16.12903,19.35484,9.67742,9.67742,77.41935,70.96774,12.90323,35.48387,70.96774,67.74194,54.83871,58.06452,35.48387
SEA,2025,70.96774,77.41935,58.06452,83.87097,100.00000,77.41935,100.00000,6.45161,87.09677,3.22581,87.09677,87.09677,90.32258,90.32258,64.51613,100.00000,16.12903,32.25806,80.64516,74.19355,93.54839,83.87097,90.32258
SF,2025,83.87097,87.09677,67.74194,93.54839,22.58065,16.12903,54.83871,90.32258,41.93548,38.70968,80.64516,80.64516,32.25806,29.03226,3.22581,67.74194,45.16129,12.90323,0.00000,0.00000,70.96774,80.64516,77.41935
TB,2025,45.16129,58.06452,22.58065,35.48387,41.93548,35.48387,74.19355,64.51613,29.03226,61.29032,58.06452,58.06452,16.12903,16.12903,67.74194,48.38710,0.00000,38.70968,29.03226,22.58065,45.16129,25.80645,32.25806
TEN,2025,3.22581,9.67742,3.22581,3.22581,9.67742,6.45161,16.12903,80.64516,19.35484,80.64516,6.45161,9.67742,87.09677,87.09677,9.67742,54.83871,77.41935,90.32258,48.38710,64.51613,6.45161,6.45161,58.06452
WAS,2025,38.70968,35.48387,51.61290,54.83871,6.45161,9.67742,12.90323,93.54839,64.51613,87.09677,77.41935,77.41935,58.06452,58.06452,25.80645,0.00000,41.93548,41.93548,38.70968,58.06452,32.25806,54.83871,41.93548
