team,season,n_games,n_plays,n_dropbacks,n_rushes,epa_per_play,epa_per_dropback,epa_per_rush,success_rate,def_epa_per_play,def_epa_per_dropback,def_epa_per_rush,def_success_rate_allowed,explosive_rate,explosive_rate_allowed,int_thrown,int_rate_per_dropback,int_expected,int_diff_actual_minus_expected,fumbles,fumbles_lost,fumble_lost_rate_per_play,fumble_lost_expected,fumble_lost_diff_actual_minus_expected,takeaways_int,takeaways_int_expected,takeaways_int_diff,opp_fumbles,opp_fumbles_lost,opp_fumbles_lost_expected,opp_fumble_recovery_rate,qb_hit_rate_allowed,sack_rate_allowed,qb_hit_rate_forced,sack_rate_forced,points_per_game,n_drives,points_per_drive,int_worthy_throws,int_worthy_throw_rate
LV,2025,17,797,496,301,-0.22879,-0.22037,-0.24267,0.36637,-0.03953,-0.07590,0.01165,0.45062,0.10038,0.12372,17,0.03427,9.25814,7.74186,7,1,0.00125,5.09727,-4.09727,8,9.61279,-1.61279,15,6,5.63450,0.40000,0.19153,0.10887,0.13592,0.06019,14.17647,153,1.57516,14,0.02823
MIA,2025,17,777,438,339,-0.02077,-0.01864,-0.02352,0.42214,-0.08707,-0.16020,0.01478,0.49369,0.13642,0.14007,15,0.03425,8.17554,6.82446,14,4,0.00515,4.96936,-0.96936,8,9.46346,-1.46346,17,9,5.57054,0.52941,0.11872,0.07534,0.12623,0.06114,20.41176,144,2.40972,20,0.04566
MIN,2025,17,819,496,323,-0.10989,-0.14735,-0.05236,0.43101,0.09498,0.11629,0.07045,0.41545,0.12210,0.11758,15,0.03024,9.25814,5.74186,17,5,0.00611,5.23797,-0.23797,8,8.92216,-0.92216,17,11,5.71124,0.64706,0.21169,0.10887,0.17992,0.08996,20.23529,156,2.20513,18,0.03629
NE,2025,17,928,571,357,0.18565,0.33280,-0.04972,0.50000,0.04708,0.03888,0.05907,0.45150,0.16272,0.12695,8,0.01401,10.65806,-2.65806,16,7,0.00754,5.93509,1.06491,9,9.25814,-0.25814,12,8,5.34030,0.66667,0.14186,0.07531,0.14516,0.05847,28.82353,151,3.24503,13,0.02277
NO,2025,17,937,578,359,-0.07905,-0.03966,-0.14247,0.42263,0.02556,-0.02125,0.08602,0.43308,0.10352,0.11534,8,0.01384,10.78872,-2.78872,16,11,0.01174,5.99265,5.00735,8,9.66878,-1.66878,17,9,5.87753,0.52941,0.12111,0.07439,0.14286,0.07915,18.00000,155,1.97419,16,0.02768
NYG,2025,17,961,550,411,-0.00453,0.03375,-0.05577,0.41311,-0.08938,-0.06295,-0.13244,0.46848,0.12279,0.15435,8,0.01455,10.26608,-2.26608,11,5,0.00520,6.14614,-1.14614,8,10.63940,-2.63940,11,3,5.88392,0.27273,0.17636,0.08000,0.15088,0.05789,22.41176,152,2.50658,17,0.03091
NYJ,2025,17,812,452,360,-0.17178,-0.20534,-0.12964,0.38916,-0.16606,-0.29208,0.00280,0.46554,0.09113,0.14846,8,0.01770,8.43685,-0.43685,13,8,0.00985,5.19320,2.80680,0,10.07943,-10.07943,10,2,6.03102,0.20000,0.19690,0.09735,0.09815,0.04444,17.64706,155,1.93548,9,0.01991
PHI,2025,17,904,539,365,0.01602,0.03588,-0.01332,0.43031,0.09551,0.08191,0.11569,0.41362,0.12721,0.10958,7,0.01299,10.06076,-3.06076,10,5,0.00553,5.78159,-0.78159,12,11.29269,0.70731,18,8,6.47871,0.44444,0.10204,0.06308,0.16033,0.06612,22.29412,162,2.33951,11,0.02041
PIT,2025,17,884,535,349,0.04221,0.03733,0.04968,0.44457,-0.00779,-0.03290,0.03116,0.42571,0.11765,0.13593,7,0.01308,9.98610,-2.98610,11,3,0.00339,5.65368,-2.65368,14,10.77006,3.22994,13,8,6.06939,0.61538,0.10654,0.05234,0.15771,0.06932,23.35294,152,2.61184,13,0.02430
SEA,2025,17,881,488,393,0.06132,0.13230,-0.02683,0.48127,0.11170,0.06205,0.20126,0.40302,0.14869,0.08944,13,0.02664,9.10882,3.89118,18,9,0.01022,5.63450,3.36550,13,11.14337,1.85663,9,7,5.93509,0.77778,0.11270,0.05123,0.16080,0.07035,28.41176,159,3.03774,17,0.03484
SF,2025,17,968,575,393,0.10778,0.19432,-0.01882,0.49277,-0.08175,-0.16596,0.05351,0.48770,0.12190,0.12304,13,0.02261,10.73272,2.26728,10,5,0.00517,6.19091,-1.19091,5,10.28475,-5.28475,13,7,5.71764,0.53846,0.13043,0.04174,0.07985,0.03085,25.70588,147,2.97279,18,0.03130
TB,2025,17,989,591,398,0.00564,0.05279,-0.06438,0.43074,-0.03135,-0.09150,0.08180,0.45717,0.11729,0.13682,11,0.01861,11.03137,-0.03137,13,4,0.00404,6.32522,-2.32522,13,10.95671,2.04329,19,9,5.74962,0.47368,0.07783,0.05922,0.13288,0.05281,22.35294,166,2.28916,14,0.02369
TEN,2025,17,796,492,304,-0.18127,-0.19428,-0.16021,0.35678,-0.14064,-0.21643,-0.01273,0.47066,0.10930,0.14437,6,0.01220,9.18348,-3.18348,12,8,0.01005,5.09087,2.90913,5,9.98610,-4.98610,8,4,5.44902,0.50000,0.17886,0.09146,0.14393,0.06729,16.70588,157,1.80892,14,0.02846
WAS,2025,17,842,498,344,-0.00229,0.02706,-0.04477,0.45012,-0.14883,-0.21352,-0.05542,0.48825,0.13064,0.14744,11,0.02209,9.29547,1.70453,14,6,0.00713,5.38507,0.61493,8,10.32208,-2.32208,10,1,5.98625,0.10000,0.12450,0.06024,0.13743,0.06510,20.94118,139,2.56115,13,0.02610
