team,season,side,split,n,mean,p10,p25,median,p75,p90,share_neg_epa,share_chunk_epa
MIA,2025,offense,rush,339,-0.02352,-1.00169,-0.54608,-0.15226,0.46620,1.20385,0.58407,0.12389
MIA,2025,defense,all,871,-0.08707,-1.70083,-0.79626,0.02156,0.56138,1.28861,0.49369,0.12974
MIA,2025,defense,dropback,507,-0.16020,-2.00584,-1.04560,-0.11888,0.62174,1.43969,0.53057,0.15779
MIA,2025,defense,rush,364,0.01478,-1.19612,-0.46879,0.10414,0.52719,0.94857,0.44231,0.09066
MIN,2025,offense,all,819,-0.10989,-1.51498,-0.70706,-0.23668,0.68530,1.45493,0.56899,0.17582
MIN,2025,offense,dropback,496,-0.14735,-1.66596,-0.85577,-0.35036,0.89461,1.79209,0.57863,0.22782
MIN,2025,offense,rush,323,-0.05236,-0.97600,-0.50492,-0.12739,0.44495,0.94420,0.55418,0.09598
MIN,2025,defense,all,893,0.09498,-1.34933,-0.59592,0.22258,0.69589,1.38289,0.41545,0.15342
MIN,2025,defense,dropback,478,0.11629,-1.78475,-0.83113,0.36232,0.84062,1.61672,0.39749,0.20084
MIN,2025,defense,rush,415,0.07045,-0.95231,-0.47901,0.12767,0.52514,0.98613,0.43614,0.09880
NE,2025,offense,all,928,0.18565,-1.16183,-0.57609,-0.00003,0.92746,1.91383,0.50000,0.23599
NE,2025,offense,dropback,571,0.33280,-1.30085,-0.64076,0.26042,1.25969,2.25440,0.44133,0.30998
NE,2025,offense,rush,357,-0.04972,-0.95560,-0.52920,-0.13272,0.42726,1.06327,0.59384,0.11765
NE,2025,defense,all,835,0.04708,-1.44000,-0.64966,0.12836,0.61309,1.33100,0.45150,0.15210
NE,2025,defense,dropback,496,0.03888,-1.75983,-0.86536,0.21283,0.84269,1.55798,0.44960,0.21169
NE,2025,defense,rush,339,0.05907,-0.86939,-0.39585,0.07893,0.45644,0.85589,0.45428,0.06490
NO,2025,offense,all,937,-0.07905,-1.30478,-0.61341,-0.19687,0.60862,1.47387,0.57737,0.16435
NO,2025,offense,dropback,578,-0.03966,-1.55243,-0.73325,-0.16129,0.81759,1.71810,0.54325,0.21799
NO,2025,offense,rush,359,-0.14247,-0.99272,-0.54324,-0.23631,0.36389,0.91971,0.63231,0.07799
NO,2025,defense,all,919,0.02556,-1.59734,-0.71166,0.18193,0.63717,1.26773,0.43308,0.14690
NO,2025,defense,dropback,518,-0.02125,-2.04063,-0.91911,0.18443,0.77354,1.43323,0.45174,0.18919
NO,2025,defense,rush,401,0.08602,-0.98273,-0.44642,0.17710,0.49113,0.93982,0.40898,0.09227
NYG,2025,offense,all,961,-0.00453,-1.24394,-0.63333,-0.23886,0.61507,1.63467,0.58689,0.17482
NYG,2025,offense,dropback,550,0.03375,-1.47418,-0.78061,-0.26573,0.83749,2.01786,0.57455,0.22909
NYG,2025,offense,rush,411,-0.05577,-0.82467,-0.49696,-0.19205,0.34048,1.05300,0.60341,0.10219
NYG,2025,defense,all,920,-0.08938,-1.75152,-0.79141,0.08870,0.60601,1.21690,0.46848,0.13370
NYG,2025,defense,dropback,570,-0.06295,-1.89023,-0.99178,0.09904,0.72766,1.49893,0.46491,0.16667
NYG,2025,defense,rush,350,-0.13244,-1.39286,-0.52577,0.07598,0.48647,0.91107,0.47429,0.08000
NYJ,2025,offense,all,812,-0.17178,-1.38213,-0.76912,-0.25658,0.43974,1.22590,0.61084,0.13793
NYJ,2025,offense,dropback,452,-0.20534,-1.63049,-0.94043,-0.37632,0.56879,1.53182,0.62611,0.16150
NYJ,2025,offense,rush,360,-0.12964,-1.04875,-0.55602,-0.19190,0.36091,1.02228,0.59167,0.10833
NYJ,2025,defense,all,943,-0.16606,-1.80442,-0.83472,0.09652,0.58686,1.03681,0.46554,0.10710
NYJ,2025,defense,dropback,540,-0.29208,-2.06484,-1.23161,0.03113,0.65689,1.26578,0.49630,0.13704
NYJ,2025,defense,rush,403,0.00280,-0.98475,-0.49129,0.16777,0.51760,0.83437,0.42432,0.06700
PHI,2025,offense,all,904,0.01602,-1.19852,-0.63880,-0.17537,0.62277,1.50322,0.56969,0.18142
PHI,2025,offense,dropback,539,0.03588,-1.32308,-0.75441,-0.19242,0.82988,1.91981,0.56401,0.22635
PHI,2025,offense,rush,365,-0.01332,-0.95131,-0.51344,-0.16813,0.41277,1.19590,0.57808,0.11507
PHI,2025,defense,all,1013,0.09551,-1.44316,-0.60532,0.21623,0.66640,1.40958,0.41362,0.15499
PHI,2025,defense,dropback,605,0.08191,-1.77230,-0.85119,0.28076,0.80819,1.56373,0.41488,0.19669
PHI,2025,defense,rush,408,0.11569,-0.89112,-0.42045,0.15753,0.48662,0.95842,0.41176,0.09314
PIT,2025,offense,all,884,0.04221,-1.26256,-0.58355,-0.14455,0.66809,1.61175,0.55543,0.17195
PIT,2025,offense,dropback,535,0.03733,-1.52307,-0.75610,-0.23795,0.73367,1.96686,0.56449,0.21308
PIT,2025,offense,rush,349,0.04968,-0.84702,-0.49430,-0.09183,0.53433,1.03564,0.54155,0.10888
PIT,2025,defense,all,949,-0.00779,-1.74464,-0.73802,0.19123,0.60603,1.21018,0.42571,0.12856
PIT,2025,defense,dropback,577,-0.03290,-2.06116,-0.91465,0.17434,0.75769,1.43537,0.44541,0.16464
PIT,2025,defense,rush,372,0.03116,-1.25164,-0.50437,0.20813,0.52306,0.87335,0.39516,0.07258
SEA,2025,offense,all,881,0.06132,-1.12987,-0.57168,-0.06792,0.80862,1.69401,0.51873,0.20885
SEA,2025,offense,dropback,488,0.13230,-1.32055,-0.64910,0.11912,1.08311,2.02659,0.47131,0.27254
SEA,2025,offense,rush,393,-0.02683,-0.92302,-0.52645,-0.18270,0.43813,1.11231,0.57761,0.12977
SEA,2025,defense,all,928,0.11170,-1.56180,-0.56171,0.24632,0.71262,1.40134,0.40302,0.16056
SEA,2025,defense,dropback,597,0.06205,-1.83420,-0.83880,0.25591,0.81184,1.59054,0.42714,0.19430
SEA,2025,defense,rush,331,0.20126,-0.73246,-0.22944,0.22886,0.54318,0.94865,0.35952,0.09970
SF,2025,offense,all,968,0.10778,-1.13190,-0.53105,-0.01555,0.81980,1.73926,0.50723,0.20145
SF,2025,offense,dropback,575,0.19432,-1.37346,-0.59643,0.20634,1.12301,2.07521,0.46435,0.28000
SF,2025,offense,rush,393,-0.01882,-0.88622,-0.47611,-0.15401,0.42247,0.92189,0.56997,0.08651
SF,2025,defense,all,894,-0.08175,-1.53356,-0.76246,0.06778,0.54723,1.10355,0.48770,0.11409
SF,2025,defense,dropback,551,-0.16596,-1.86355,-1.03409,0.03015,0.58542,1.19135,0.49909,0.12341
SF,2025,defense,rush,343,0.05351,-0.91570,-0.47711,0.08179,0.49289,0.98639,0.46939,0.09913
TB,2025,offense,all,989,0.00564,-1.22323,-0.61022,-0.17473,0.64373,1.64636,0.56926,0.18807
TB,2025,offense,dropback,591,0.05279,-1.46074,-0.78020,-0.21985,1.06290,1.91571,0.55330,0.26058
TB,2025,offense,rush,398,-0.06438,-0.91311,-0.50954,-0.14054,0.36847,0.90197,0.59296,0.08040
TB,2025,defense,all,899,-0.03135,-1.75927,-0.77718,0.16117,0.68628,1.33246,0.45717,0.15462
TB,2025,defense,dropback,587,-0.09150,-2.01428,-1.02582,0.00042,0.70529,1.45431,0.49915,0.17888
TB,2025,defense,rush,312,0.08180,-1.13557,-0.37958,0.22966,0.60158,1.04601,0.37821,0.10897
