team,season,side,down_group,n_plays,epa_per_play,success_rate
GB,2025,defense,late_3_4,228,0.00856,0.45614
HOU,2025,offense,early_1_2,756,0.00943,0.41534
HOU,2025,offense,late_3_4,221,-0.10948,0.43439
HOU,2025,defense,early_1_2,682,0.13456,0.37537
HOU,2025,defense,late_3_4,227,0.04101,0.41410
IND,2025,offense,early_1_2,709,0.07321,0.45980
IND,2025,offense,late_3_4,200,0.19826,0.47500
IND,2025,defense,early_1_2,760,-0.05129,0.46184
IND,2025,defense,late_3_4,199,0.11685,0.46734
JAX,2025,offense,early_1_2,751,0.03838,0.45672
JAX,2025,offense,late_3_4,206,0.09848,0.47087
JAX,2025,defense,early_1_2,668,0.04869,0.41916
JAX,2025,defense,late_3_4,203,0.23052,0.41379
KC,2025,offense,early_1_2,742,0.02985,0.45013
KC,2025,offense,late_3_4,226,0.01632,0.45133
KC,2025,defense,early_1_2,687,-0.00091,0.42795
KC,2025,defense,late_3_4,219,0.02861,0.47945
LA,2025,offense,early_1_2,761,0.16417,0.53088
LA,2025,offense,late_3_4,195,0.07844,0.48205
LA,2025,defense,early_1_2,705,0.06748,0.41135
LA,2025,defense,late_3_4,230,0.05080,0.43478
LAC,2025,offense,early_1_2,724,-0.01958,0.42127
LAC,2025,offense,late_3_4,225,0.00880,0.48444
LAC,2025,defense,early_1_2,659,0.04919,0.40971
LAC,2025,defense,late_3_4,198,0.15375,0.40909
LV,2025,offense,early_1_2,590,-0.17876,0.36441
LV,2025,offense,late_3_4,206,-0.36860,0.37379
LV,2025,defense,early_1_2,680,-0.02325,0.44118
LV,2025,defense,late_3_4,196,-0.11097,0.48980
MIA,2025,offense,early_1_2,600,0.02052,0.43333
MIA,2025,offense,late_3_4,177,-0.16074,0.38418
MIA,2025,defense,early_1_2,670,-0.08652,0.50149
MIA,2025,defense,late_3_4,197,-0.09982,0.46701
MIN,2025,offense,early_1_2,629,-0.02782,0.44833
MIN,2025,offense,late_3_4,187,-0.38320,0.37433
MIN,2025,defense,early_1_2,677,0.10861,0.41654
MIN,2025,defense,late_3_4,215,0.05743,0.40930
NE,2025,offense,early_1_2,728,0.16208,0.49451
NE,2025,offense,late_3_4,197,0.25951,0.51269
NE,2025,defense,early_1_2,644,-0.00526,0.46739
NE,2025,defense,late_3_4,190,0.21972,0.40000
NO,2025,offense,early_1_2,719,-0.04236,0.42142
NO,2025,offense,late_3_4,215,-0.18962,0.42791
NO,2025,defense,early_1_2,709,0.01084,0.43583
NO,2025,defense,late_3_4,208,0.08610,0.41827
NYG,2025,offense,early_1_2,733,-0.02034,0.40928
NYG,2025,offense,late_3_4,225,0.04174,0.42222
NYG,2025,defense,early_1_2,723,-0.07278,0.46750
NYG,2025,defense,late_3_4,194,-0.13638,0.46392
NYJ,2025,offense,early_1_2,593,-0.10765,0.39966
NYJ,2025,offense,late_3_4,215,-0.35286,0.35814
NYJ,2025,defense,early_1_2,738,-0.17023,0.46748
NYJ,2025,defense,late_3_4,204,-0.14661,0.45588
PHI,2025,offense,early_1_2,700,0.00206,0.43857
PHI,2025,offense,late_3_4,202,0.07392,0.40594
PHI,2025,defense,early_1_2,770,0.05051,0.41169
PHI,2025,defense,late_3_4,241,0.24052,0.41909
PIT,2025,offense,early_1_2,674,0.02799,0.44065
PIT,2025,offense,late_3_4,209,0.08320,0.45455
PIT,2025,defense,early_1_2,711,0.05215,0.40788
PIT,2025,defense,late_3_4,234,-0.19768,0.48291
SEA,2025,offense,early_1_2,695,0.07388,0.47626
SEA,2025,offense,late_3_4,183,-0.00268,0.49180
SEA,2025,defense,early_1_2,690,0.05621,0.40580
SEA,2025,defense,late_3_4,233,0.28386,0.39056
SF,2025,offense,early_1_2,760,0.04684,0.47895
SF,2025,offense,late_3_4,206,0.32346,0.53883
SF,2025,defense,early_1_2,711,-0.10151,0.50070
SF,2025,defense,late_3_4,179,-0.01511,0.44134
TB,2025,offense,early_1_2,747,0.01311,0.42035
TB,2025,offense,late_3_4,234,-0.00275,0.47009
TB,2025,defense,early_1_2,692,-0.06952,0.46387
TB,2025,defense,late_3_4,203,0.07948,0.44335
TEN,2025,offense,early_1_2,595,-0.09229,0.36303
TEN,2025,offense,late_3_4,201,-0.44465,0.33831
TEN,2025,defense,early_1_2,671,-0.13185,0.46796
TEN,2025,defense,late_3_4,177,-0.18724,0.48588
WAS,2025,offense,early_1_2,653,0.02815,0.45329
WAS,2025,offense,late_3_4,185,-0.10009,0.44324
WAS,2025,defense,early_1_2,723,-0.13749,0.48133
WAS,2025,defense,late_3_4,211,-0.18858,0.51185
