player,team,season,rushes,rush_first_downs,rush_fd_rate,rush_fd_rate_pct,targets,receptions,rec_first_downs,rec_fd_rate,rec_fd_rate_pct,target_fd_rate
T.Tremble,CAR,2025,0.00000,0.00000,,,32.00000,23.00000,10.00000,0.43478,35.81395,0.31250
T.Tucker,LV,2025,11.00000,1.00000,0.09091,,81.00000,47.00000,23.00000,0.48936,45.34884,0.28395
T.Warren,IND,2025,6.00000,3.00000,0.50000,,105.00000,72.00000,39.00000,0.54167,57.67442,0.37143
Ty.Johnson,BUF,2025,43.00000,11.00000,0.25581,,30.00000,22.00000,9.00000,0.40909,32.55814,0.30000
V.Jefferson,TEN,2025,0.00000,0.00000,,,40.00000,21.00000,9.00000,0.42857,35.11628,0.22500
W.Marks,HOU,2025,185.00000,37.00000,0.20000,16.90141,30.00000,21.00000,5.00000,0.23810,7.90698,0.16667
W.Robinson,NYG,2025,3.00000,1.00000,0.33333,,128.00000,85.00000,34.00000,0.40000,30.23256,0.26562
X.Hutchinson,HOU,2025,3.00000,2.00000,0.66667,,51.00000,34.00000,18.00000,0.52941,55.58140,0.35294
X.Legette,CAR,2025,1.00000,0.00000,0.00000,,54.00000,30.00000,16.00000,0.53333,56.51163,0.29630
X.Worthy,KC,2025,10.00000,3.00000,0.30000,,70.00000,40.00000,21.00000,0.52500,53.72093,0.30000
Z.Charbonnet,SEA,2025,148.00000,43.00000,0.29054,77.46479,20.00000,17.00000,6.00000,0.35294,20.00000,0.30000
Z.Ertz,WAS,2025,0.00000,0.00000,,,63.00000,44.00000,22.00000,0.50000,46.27907,0.34921
Z.Flowers,BAL,2025,9.00000,3.00000,0.33333,,106.00000,78.00000,47.00000,0.60256,69.76744,0.44340
Z.Knight,ARI,2025,79.00000,20.00000,0.25316,54.92958,28.00000,19.00000,10.00000,0.52632,54.65116,0.35714
