team,season,n_plays_def,n_dropbacks_def,n_rushes_def,n_def_drives,int_forced,int_forced_rate_per_dropback,forced_fumbles,forced_fumble_rate_per_play,opp_fumble_recovery_share,tfl,tfl_rate_per_rush,takeaways,takeaway_rate_per_drive,defensive_tds,defensive_td_rate_per_drive,points_allowed_per_drive,int_forced_rate_per_dropback_pct,forced_fumble_rate_per_play_pct,opp_fumble_recovery_share_pct,tfl_rate_per_rush_pct,takeaway_rate_per_drive_pct,defensive_td_rate_per_drive_pct,points_allowed_per_drive_pct
LA,2025,939,554,385,174,13,0.02347,14,0.01491,0.71429,17,0.04416,26,0.14943,1,0.00575,1.98851,70.96774,58.06452,96.77419,3.22581,93.54839,33.87097,25.80645
LAC,2025,860,530,330,171,17,0.03208,13,0.01512,0.15385,41,0.12424,21,0.12281,0,0.00000,1.98830,96.77419,64.51613,3.22581,96.77419,69.35484,11.29032,22.58065
LV,2025,881,515,366,172,8,0.01553,15,0.01703,0.40000,44,0.12022,16,0.09302,0,0.00000,2.51163,32.25806,77.41935,32.25806,87.09677,32.25806,11.29032,77.41935
MIA,2025,871,507,364,170,8,0.01578,17,0.01952,0.52941,32,0.08791,18,0.10588,0,0.00000,2.49412,35.48387,93.54839,62.90323,38.70968,38.70968,11.29032,74.19355
MIN,2025,893,478,415,175,8,0.01674,17,0.01904,0.64706,44,0.10602,20,0.11429,2,0.01143,1.90286,45.16129,90.32258,80.64516,77.41935,51.61290,64.51613,16.12903
NE,2025,835,496,339,167,9,0.01815,12,0.01437,0.66667,31,0.09145,18,0.10778,2,0.01198,1.91617,51.61290,51.61290,88.70968,48.38710,45.16129,77.41935,19.35484
NO,2025,919,518,401,174,8,0.01544,17,0.01850,0.52941,36,0.08978,20,0.11494,3,0.01724,2.20115,29.03226,87.09677,62.90323,41.93548,56.45161,87.09677,38.70968
NYG,2025,920,570,350,171,8,0.01404,11,0.01196,0.27273,43,0.12286,15,0.08772,1,0.00585,2.56725,22.58065,38.70968,22.58065,93.54839,29.03226,43.54839,80.64516
NYJ,2025,943,540,403,177,0,0.00000,10,0.01060,0.20000,33,0.08189,3,0.01695,0,0.00000,2.84181,0.00000,25.80645,6.45161,25.80645,0.00000,11.29032,90.32258
PHI,2025,1013,605,408,174,12,0.01983,18,0.01777,0.44444,29,0.07108,20,0.11494,1,0.00575,1.86782,54.83871,83.87097,38.70968,16.12903,56.45161,33.87097,12.90323
PIT,2025,949,577,372,173,14,0.02426,13,0.01370,0.61538,31,0.08333,25,0.14451,3,0.01734,2.23699,77.41935,48.38710,70.96774,29.03226,87.09677,90.32258,41.93548
SEA,2025,928,597,331,184,13,0.02178,9,0.00970,0.77778,32,0.09668,24,0.13043,3,0.01630,1.58696,64.51613,12.90323,100.00000,64.51613,83.87097,83.87097,0.00000
SF,2025,894,551,343,162,5,0.00907,13,0.01454,0.53846,33,0.09621,14,0.08642,1,0.00617,2.29012,3.22581,54.83871,67.74194,58.06452,25.80645,54.83871,48.38710
TB,2025,899,587,312,172,13,0.02215,19,0.02113,0.47368,38,0.12179,22,0.12791,2,0.01163,2.38953,67.74194,100.00000,48.38710,90.32258,80.64516,72.58065,64.51613
TEN,2025,852,535,317,176,5,0.00935,8,0.00939,0.50000,33,0.10410,12,0.06818,1,0.00568,2.71591,9.67742,9.67742,54.83871,74.19355,9.67742,29.03226,83.87097
WAS,2025,936,553,383,164,8,0.01447,10,0.01068,0.10000,24,0.06266,9,0.05488,0,0.00000,2.75000,25.80645,29.03226,0.00000,9.67742,3.22581,11.29032,87.09677
