player,team,season,rushes,rush_first_downs,rush_fd_rate,rush_fd_rate_pct,targets,receptions,rec_first_downs,rec_fd_rate,rec_fd_rate_pct,target_fd_rate
D.Swift,CHI,2026,16.00000,4.00000,0.25000,50.00000,1.00000,1.00000,1.00000,1.00000,96.59091,1.00000
D.Vele,NO,2026,0.00000,0.00000,,,9.00000,7.00000,3.00000,0.42857,53.40909,0.33333
G.Holani,SEA,2026,8.00000,0.00000,0.00000,0.00000,1.00000,0.00000,0.00000,,,0.00000
J.Cook,BUF,2026,13.00000,3.00000,0.23077,45.94595,4.00000,3.00000,2.00000,0.66667,80.68182,0.50000
J.Croskey-Merritt,WAS,2026,16.00000,7.00000,0.43750,94.59459,1.00000,1.00000,0.00000,0.00000,11.36364,0.00000
J.Dobbins,DEN,2026,8.00000,1.00000,0.12500,5.40541,0.00000,0.00000,0.00000,,,
J.Gibbs,DET,2026,29.00000,14.00000,0.48276,100.00000,5.00000,5.00000,1.00000,0.20000,27.27273,0.20000
J.Jefferson,MIN,2026,0.00000,0.00000,,,9.00000,7.00000,4.00000,0.57143,71.59091,0.44444
J.Love,ARI,2026,11.00000,2.00000,0.18182,22.97297,4.00000,2.00000,0.00000,0.00000,11.36364,0.00000
J.Mason,MIN,2026,13.00000,2.00000,0.15385,14.86486,0.00000,0.00000,0.00000,,,
J.Price,SEA,2026,10.00000,4.00000,0.40000,86.48649,2.00000,2.00000,0.00000,0.00000,11.36364,0.00000
J.Smith-Njigba,SEA,2026,0.00000,0.00000,,,11.00000,8.00000,5.00000,0.62500,76.13636,0.45455
J.Taylor,IND,2026,19.00000,7.00000,0.36842,77.02703,3.00000,2.00000,0.00000,0.00000,11.36364,0.00000
J.Warren,PIT,2026,9.00000,2.00000,0.22222,37.83784,6.00000,5.00000,1.00000,0.20000,27.27273,0.16667
J.Williams,DAL,2026,12.00000,2.00000,0.16667,18.91892,12.00000,7.00000,4.00000,0.57143,71.59091,0.33333
K.Black,SF,2026,10.00000,3.00000,0.30000,66.21622,1.00000,1.00000,0.00000,0.00000,11.36364,0.00000
K.Bourne,ARI,2026,0.00000,0.00000,,,8.00000,8.00000,5.00000,0.62500,76.13636,0.62500
K.Miller,NO,2026,9.00000,2.00000,0.22222,37.83784,0.00000,0.00000,0.00000,,,
K.Walker,KC,2026,19.00000,7.00000,0.36842,77.02703,5.00000,2.00000,1.00000,0.50000,62.50000,0.20000
K.Williams,LA,2026,10.00000,3.00000,0.30000,66.21622,2.00000,2.00000,1.00000,0.50000,62.50000,0.50000
M.Evans,SF,2026,0.00000,0.00000,,,9.00000,7.00000,6.00000,0.85714,90.90909,0.66667
M.Golden,GB,2026,0.00000,0.00000,,,8.00000,4.00000,3.00000,0.75000,86.36364,0.37500
M.Lloyd,GB,2026,13.00000,2.00000,0.15385,14.86486,0.00000,0.00000,0.00000,,,
M.Nabers,NYG,2026,0.00000,0.00000,,,9.00000,6.00000,3.00000,0.50000,62.50000,0.33333
N.Collins,HOU,2026,1.00000,1.00000,1.00000,,10.00000,7.00000,3.00000,0.42857,53.40909,0.30000
N.Fant,NO,2026,0.00000,0.00000,,,8.00000,4.00000,2.00000,0.50000,62.50000,0.25000
O.Hampton,LAC,2026,12.00000,5.00000,0.41667,91.89189,0.00000,0.00000,0.00000,,,
R.Stevenson,NE,2026,18.00000,2.00000,0.11111,2.70270,6.00000,5.00000,1.00000,0.20000,27.27273,0.16667
S.Barkley,PHI,2026,15.00000,2.00000,0.13333,8.10811,2.00000,1.00000,0.00000,0.00000,11.36364,0.00000
S.Diggs,WAS,2026,0.00000,0.00000,,,9.00000,4.00000,4.00000,1.00000,96.59091,0.44444
S.LaPorta,DET,2026,0.00000,0.00000,,,8.00000,5.00000,2.00000,0.40000,47.72727,0.25000
T.Allgeier,ARI,2026,14.00000,2.00000,0.14286,10.81081,2.00000,2.00000,0.00000,0.00000,11.36364,0.00000
T.Etienne,NO,2026,9.00000,2.00000,0.22222,37.83784,9.00000,7.00000,2.00000,0.28571,37.50000,0.22222
T.McBride,ARI,2026,0.00000,0.00000,,,13.00000,9.00000,6.00000,0.66667,80.68182,0.46154
W.Marks,HOU,2026,9.00000,4.00000,0.44444,97.29730,1.00000,1.00000,0.00000,0.00000,11.36364,0.00000
