category,metric_path,metric_title,free_full,rank,name,name_href,team,position,season_label,season_value,last_1,last_3,last_5,last_10,home,away,extra_json
advanced-players,/nfl/advanced/players/cb/slot-fantasy-points-per-route-allowed,Slot FP/Route Allowed | NFL Advanced Stats,no,3,Taron JohnsonT. Johnson,/nfl/player-pages/10024/taron-johnson,Las Vegas Raiders,CB,2026,0.43,0.43,0.43,0.43,0.43,0.43,-,
advanced-players,/nfl/advanced/players/cb/slot-fantasy-points-per-route-allowed,Slot FP/Route Allowed | NFL Advanced Stats,no,4,Jalen DavisJ. Davis,/nfl/player-pages/674/jalen-davis,Cincinnati Bengals,CB,2026,0.37,0.37,0.37,0.37,0.37,0.37,-,
advanced-players,/nfl/advanced/players/cb/slot-fantasy-points-per-route-allowed,Slot FP/Route Allowed | NFL Advanced Stats,no,5,Dee AlfordD. Alford,/nfl/player-pages/12027/dee-alford,Buffalo Bills,CB,2026,0.30,0.30,0.30,0.30,0.30,-,0.30,
advanced-players,/nfl/advanced/players/cb/slot-receptions-allowed,Slot Receptions Allowed | NFL Advanced Stats,no,1,Cooper DeJeanC. DeJean,/nfl/player-pages/5493/cooper-dejean,Philadelphia Eagles,CB,2026,6,6,6,6,6,6,-,
advanced-players,/nfl/advanced/players/cb/slot-receptions-allowed,Slot Receptions Allowed | NFL Advanced Stats,no,2,Jonas SankerJ. Sanker,/nfl/player-pages/1150/jonas-sanker,New Orleans Saints,SAF,2026,4,4,4,4,4,-,4,
advanced-players,/nfl/advanced/players/cb/slot-receptions-allowed,Slot Receptions Allowed | NFL Advanced Stats,no,3,Jalen DavisJ. Davis,/nfl/player-pages/674/jalen-davis,Cincinnati Bengals,CB,2026,3,3,3,3,3,3,-,
advanced-players,/nfl/advanced/players/cb/slot-receptions-allowed,Slot Receptions Allowed | NFL Advanced Stats,no,3,Tarheeb StillT. Still,/nfl/player-pages/787/tarheeb-still,Los Angeles Chargers,CB,2026,3,3,3,3,3,3,-,
advanced-players,/nfl/advanced/players/cb/slot-receptions-allowed,Slot Receptions Allowed | NFL Advanced Stats,no,3,Taron JohnsonT. Johnson,/nfl/player-pages/10024/taron-johnson,Las Vegas Raiders,CB,2026,3,3,3,3,3,3,-,
advanced-players,/nfl/advanced/players/cb/slot-target-rate-allowed,Slot Target Rate Allowed | NFL Advanced Stats,no,1,Cooper DeJeanC. DeJean,/nfl/player-pages/5493/cooper-dejean,Philadelphia Eagles,CB,2026,34.8%,34.8%,34.8%,34.8%,34.8%,34.8%,-,
advanced-players,/nfl/advanced/players/cb/slot-target-rate-allowed,Slot Target Rate Allowed | NFL Advanced Stats,no,2,Keith Abney IIK. Abney II,/nfl/player-pages/110320/keith-abney-ii,Detroit Lions,CB,2026,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,-,
advanced-players,/nfl/advanced/players/cb/slot-target-rate-allowed,Slot Target Rate Allowed | NFL Advanced Stats,no,3,Jalen DavisJ. Davis,/nfl/player-pages/674/jalen-davis,Cincinnati Bengals,CB,2026,22.2%,22.2%,22.2%,22.2%,22.2%,22.2%,-,
advanced-players,/nfl/advanced/players/cb/slot-target-rate-allowed,Slot Target Rate Allowed | NFL Advanced Stats,no,4,Taron JohnsonT. Johnson,/nfl/player-pages/10024/taron-johnson,Las Vegas Raiders,CB,2026,21.7%,21.7%,21.7%,21.7%,21.7%,21.7%,-,
advanced-players,/nfl/advanced/players/cb/slot-target-rate-allowed,Slot Target Rate Allowed | NFL Advanced Stats,no,5,Byron MurphyB. Murphy,/nfl/player-pages/12552/byron-murphy,Minnesota Vikings,CB,2026,21.1%,21.1%,21.1%,21.1%,21.1%,21.1%,-,
advanced-players,/nfl/advanced/players/cb/slot-targets-allowed,Slot Targets Allowed | NFL Advanced Stats,no,1,Cooper DeJeanC. DeJean,/nfl/player-pages/5493/cooper-dejean,Philadelphia Eagles,CB,2026,8,8,8,8,8,8,-,
advanced-players,/nfl/advanced/players/cb/slot-targets-allowed,Slot Targets Allowed | NFL Advanced Stats,no,2,Jonas SankerJ. Sanker,/nfl/player-pages/1150/jonas-sanker,New Orleans Saints,SAF,2026,5,5,5,5,5,-,5,
advanced-players,/nfl/advanced/players/cb/slot-targets-allowed,Slot Targets Allowed | NFL Advanced Stats,no,2,Taron JohnsonT. Johnson,/nfl/player-pages/10024/taron-johnson,Las Vegas Raiders,CB,2026,5,5,5,5,5,5,-,
advanced-players,/nfl/advanced/players/cb/slot-targets-allowed,Slot Targets Allowed | NFL Advanced Stats,no,2,Dee AlfordD. Alford,/nfl/player-pages/12027/dee-alford,Buffalo Bills,CB,2026,5,5,5,5,5,-,5,
advanced-players,/nfl/advanced/players/cb/slot-targets-allowed,Slot Targets Allowed | NFL Advanced Stats,no,5,Jalen DavisJ. Davis,/nfl/player-pages/674/jalen-davis,Cincinnati Bengals,CB,2026,4,4,4,4,4,4,-,
advanced-players,/nfl/advanced/players/cb/target-rate,Target Rate | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate,Target Rate | NFL Advanced Stats,no,1,Theo JacksonT. Jackson,/nfl/player-pages/19943/theo-jackson,Minnesota Vikings,DB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/target-rate,Target Rate | NFL Advanced Stats,no,3,Pat Surtain IIP. Surtain II,/nfl/player-pages/12578/pat-surtain-ii,Denver Broncos,CB,2026,3.4%,3.4%,3.4%,3.4%,3.4%,-,3.4%,
advanced-players,/nfl/advanced/players/cb/target-rate,Target Rate | NFL Advanced Stats,no,4,Maxwell HairstonM. Hairston,/nfl/player-pages/8676/maxwell-hairston,Buffalo Bills,CB,2026,5.9%,5.9%,5.9%,5.9%,5.9%,-,5.9%,
advanced-players,/nfl/advanced/players/cb/target-rate,Target Rate | NFL Advanced Stats,no,5,Nate WigginsN. Wiggins,/nfl/player-pages/323/nate-wiggins,Baltimore Ravens,CB,2026,6.3%,6.3%,6.3%,6.3%,6.3%,-,6.3%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-man,Target Rate Allowed vs. Man | NFL Advanced Stats,no,1,Cobie DurantC. Durant,/nfl/player-pages/582/cobie-durant,Dallas Cowboys,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-man,Target Rate Allowed vs. Man | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-man,Target Rate Allowed vs. Man | NFL Advanced Stats,no,1,Tre'von MoehrigT. Moehrig,/nfl/player-pages/1932/trevon-moehrig,Carolina Panthers,SAF,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-man,Target Rate Allowed vs. Man | NFL Advanced Stats,no,1,Cordale FlottC. Flott,/nfl/player-pages/2182/cordale-flott,Tennessee Titans,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-man,Target Rate Allowed vs. Man | NFL Advanced Stats,no,1,Tykee SmithT. Smith,/nfl/player-pages/2650/tykee-smith,Tampa Bay Buccaneers,SAF,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-zone,Target Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-zone,Target Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Greg Newsome IIG. Newsome II,/nfl/player-pages/9727/greg-newsome-ii,New York Giants,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-zone,Target Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Sauce GardnerS. Gardner,/nfl/player-pages/10345/sauce-gardner,Indianapolis Colts,CB,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-zone,Target Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Talanoa HufangaT. Hufanga,/nfl/player-pages/13016/talanoa-hufanga,Denver Broncos,SAF,2026,0.0%,0.0%,0.0%,0.0%,0.0%,-,0.0%,
advanced-players,/nfl/advanced/players/cb/target-rate-allowed-vs-zone,Target Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Antonio JohnsonA. Johnson,/nfl/player-pages/19363/antonio-johnson,Jacksonville Jaguars,SAF,2026,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,-,
advanced-players,/nfl/advanced/players/cb/targets-allowed,Targets Allowed | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0,0,0,0,0,-,0,
advanced-players,/nfl/advanced/players/cb/targets-allowed,Targets Allowed | NFL Advanced Stats,no,1,Theo JacksonT. Jackson,/nfl/player-pages/19943/theo-jackson,Minnesota Vikings,DB,2026,0,0,0,0,0,0,-,
advanced-players,/nfl/advanced/players/cb/targets-allowed,Targets Allowed | NFL Advanced Stats,no,3,Tre'von MoehrigT. Moehrig,/nfl/player-pages/1932/trevon-moehrig,Carolina Panthers,SAF,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/targets-allowed,Targets Allowed | NFL Advanced Stats,no,3,Pat Surtain IIP. Surtain II,/nfl/player-pages/12578/pat-surtain-ii,Denver Broncos,CB,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/targets-allowed,Targets Allowed | NFL Advanced Stats,no,3,Talanoa HufangaT. Hufanga,/nfl/player-pages/13016/talanoa-hufanga,Denver Broncos,SAF,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-man,Targets per Route Run Allowed vs. Man | NFL Advanced Stats,no,1,Cobie DurantC. Durant,/nfl/player-pages/582/cobie-durant,Dallas Cowboys,CB,2026,0.00,0.00,0.00,0.00,0.00,-,0.00,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-man,Targets per Route Run Allowed vs. Man | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0.00,0.00,0.00,0.00,0.00,-,0.00,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-man,Targets per Route Run Allowed vs. Man | NFL Advanced Stats,no,1,Tre'von MoehrigT. Moehrig,/nfl/player-pages/1932/trevon-moehrig,Carolina Panthers,SAF,2026,0.00,0.00,0.00,0.00,0.00,0.00,-,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-man,Targets per Route Run Allowed vs. Man | NFL Advanced Stats,no,1,Cordale FlottC. Flott,/nfl/player-pages/2182/cordale-flott,Tennessee Titans,CB,2026,0.00,0.00,0.00,0.00,0.00,0.00,-,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-man,Targets per Route Run Allowed vs. Man | NFL Advanced Stats,no,1,Tykee SmithT. Smith,/nfl/player-pages/2650/tykee-smith,Tampa Bay Buccaneers,SAF,2026,0.00,0.00,0.00,0.00,0.00,-,0.00,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-zone,Targets per Route Run Allowed vs. Zone | NFL Advanced Stats,no,1,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,0.71,0.71,0.71,0.71,0.71,0.71,-,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-zone,Targets per Route Run Allowed vs. Zone | NFL Advanced Stats,no,2,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,0.43,0.43,0.43,0.43,0.43,-,0.43,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-zone,Targets per Route Run Allowed vs. Zone | NFL Advanced Stats,no,2,Jordan BattleJ. Battle,/nfl/player-pages/11184/jordan-battle,Cincinnati Bengals,SAF,2026,0.43,0.43,0.43,0.43,0.43,0.43,-,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-zone,Targets per Route Run Allowed vs. Zone | NFL Advanced Stats,no,2,Andre CiscoA. Cisco,/nfl/player-pages/17104/andre-cisco,New York Jets,SAF,2026,0.43,0.43,0.43,0.43,0.43,-,0.43,
advanced-players,/nfl/advanced/players/cb/targets-per-route-run-allowed-vs-zone,Targets per Route Run Allowed vs. Zone | NFL Advanced Stats,no,5,Grant DelpitG. Delpit,/nfl/player-pages/14362/grant-delpit,Cleveland Browns,SAF,2026,0.38,0.38,0.38,0.38,0.38,-,0.38,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed,TD Rate Allowed | NFL Advanced Stats,no,1,Cam LewisC. Lewis,/nfl/player-pages/11406/cam-lewis,Chicago Bears,CB,2026,10.0%,10.0%,10.0%,10.0%,10.0%,-,10.0%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed,TD Rate Allowed | NFL Advanced Stats,no,1,Jaden HicksJ. Hicks,/nfl/player-pages/16102/jaden-hicks,Kansas City Chiefs,SAF,2026,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,-,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed,TD Rate Allowed | NFL Advanced Stats,no,3,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,8.3%,8.3%,8.3%,8.3%,8.3%,-,8.3%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed,TD Rate Allowed | NFL Advanced Stats,no,4,Tyrique StevensonT. Stevenson,/nfl/player-pages/10715/tyrique-stevenson,Chicago Bears,CB,2026,5.9%,5.9%,5.9%,5.9%,5.9%,-,5.9%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed,TD Rate Allowed | NFL Advanced Stats,no,4,Quincy RileyQ. Riley,/nfl/player-pages/13142/quincy-riley,New Orleans Saints,CB,2026,5.9%,5.9%,5.9%,5.9%,5.9%,-,5.9%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-man,TD Rate Allowed vs. Man | NFL Advanced Stats,no,1,Mike SainristilM. Sainristil,/nfl/player-pages/4618/mike-sainristil,Washington Commanders,CB,2026,20.0%,20.0%,20.0%,20.0%,20.0%,-,20.0%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-man,TD Rate Allowed vs. Man | NFL Advanced Stats,no,1,Jaylen WatsonJ. Watson,/nfl/player-pages/7122/jaylen-watson,Los Angeles Rams,CB,2026,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,-,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-man,TD Rate Allowed vs. Man | NFL Advanced Stats,no,3,Quincy RileyQ. Riley,/nfl/player-pages/13142/quincy-riley,New Orleans Saints,CB,2026,16.7%,16.7%,16.7%,16.7%,16.7%,-,16.7%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-man,TD Rate Allowed vs. Man | NFL Advanced Stats,no,4,Azareye'h ThomasA. Thomas,/nfl/player-pages/3106/azareyeh-thomas,New York Jets,CB,2026,14.3%,14.3%,14.3%,14.3%,14.3%,-,14.3%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-man,TD Rate Allowed vs. Man | NFL Advanced Stats,no,4,Cam LewisC. Lewis,/nfl/player-pages/11406/cam-lewis,Chicago Bears,CB,2026,14.3%,14.3%,14.3%,14.3%,14.3%,-,14.3%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-zone,TD Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,14.3%,14.3%,14.3%,14.3%,14.3%,-,14.3%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-zone,TD Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,-,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-zone,TD Rate Allowed vs. Zone | NFL Advanced Stats,no,1,Jaden HicksJ. Hicks,/nfl/player-pages/16102/jaden-hicks,Kansas City Chiefs,SAF,2026,14.3%,14.3%,14.3%,14.3%,14.3%,14.3%,-,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-zone,TD Rate Allowed vs. Zone | NFL Advanced Stats,no,4,Tykee SmithT. Smith,/nfl/player-pages/2650/tykee-smith,Tampa Bay Buccaneers,SAF,2026,9.1%,9.1%,9.1%,9.1%,9.1%,-,9.1%,
advanced-players,/nfl/advanced/players/cb/td-rate-allowed-vs-zone,TD Rate Allowed vs. Zone | NFL Advanced Stats,no,4,Keyon MartinK. Martin,/nfl/player-pages/13316/keyon-martin,Baltimore Ravens,CB,2026,9.1%,9.1%,9.1%,9.1%,9.1%,-,9.1%,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed,Touchdowns Allowed | NFL Advanced Stats,no,1,Tyrique StevensonT. Stevenson,/nfl/player-pages/10715/tyrique-stevenson,Chicago Bears,CB,2026,2,2,2,2,2,-,2,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed,Touchdowns Allowed | NFL Advanced Stats,no,1,Quincy RileyQ. Riley,/nfl/player-pages/13142/quincy-riley,New Orleans Saints,CB,2026,2,2,2,2,2,-,2,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed,Touchdowns Allowed | NFL Advanced Stats,no,3,Isaiah RodgersI. Rodgers,/nfl/player-pages/2335/isaiah-rodgers,Minnesota Vikings,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed,Touchdowns Allowed | NFL Advanced Stats,no,3,Tykee SmithT. Smith,/nfl/player-pages/2650/tykee-smith,Tampa Bay Buccaneers,SAF,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed,Touchdowns Allowed | NFL Advanced Stats,no,3,Azareye'h ThomasA. Thomas,/nfl/player-pages/3106/azareyeh-thomas,New York Jets,CB,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-man,Touchdowns Allowed vs. Man | NFL Advanced Stats,no,1,Isaiah RodgersI. Rodgers,/nfl/player-pages/2335/isaiah-rodgers,Minnesota Vikings,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-man,Touchdowns Allowed vs. Man | NFL Advanced Stats,no,1,Azareye'h ThomasA. Thomas,/nfl/player-pages/3106/azareyeh-thomas,New York Jets,CB,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-man,Touchdowns Allowed vs. Man | NFL Advanced Stats,no,1,Rock Ya-SinR. Ya-Sin,/nfl/player-pages/4528/rock-ya-sin,Detroit Lions,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-man,Touchdowns Allowed vs. Man | NFL Advanced Stats,no,1,Mike SainristilM. Sainristil,/nfl/player-pages/4618/mike-sainristil,Washington Commanders,CB,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-man,Touchdowns Allowed vs. Man | NFL Advanced Stats,no,1,Cooper DeJeanC. DeJean,/nfl/player-pages/5493/cooper-dejean,Philadelphia Eagles,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-zone,Touchdowns Allowed vs. Zone | NFL Advanced Stats,no,1,Tykee SmithT. Smith,/nfl/player-pages/2650/tykee-smith,Tampa Bay Buccaneers,SAF,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-zone,Touchdowns Allowed vs. Zone | NFL Advanced Stats,no,1,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-zone,Touchdowns Allowed vs. Zone | NFL Advanced Stats,no,1,Montaric BrownM. Brown,/nfl/player-pages/10597/montaric-brown,Jacksonville Jaguars,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-zone,Touchdowns Allowed vs. Zone | NFL Advanced Stats,no,1,Tyrique StevensonT. Stevenson,/nfl/player-pages/10715/tyrique-stevenson,Chicago Bears,CB,2026,1,1,1,1,1,-,1,
advanced-players,/nfl/advanced/players/cb/touchdowns-allowed-vs-zone,Touchdowns Allowed vs. Zone | NFL Advanced Stats,no,1,Jalen RamseyJ. Ramsey,/nfl/player-pages/11422/jalen-ramsey,Pittsburgh Steelers,CB,2026,1,1,1,1,1,1,-,
advanced-players,/nfl/advanced/players/cb/two-high-rate,Two High Rate | NFL Advanced Stats,no,1,Jamel DeanJ. Dean,/nfl/player-pages/16839/jamel-dean,Pittsburgh Steelers,CB,2026,69.6%,69.6%,69.6%,69.6%,69.6%,69.6%,-,
advanced-players,/nfl/advanced/players/cb/two-high-rate,Two High Rate | NFL Advanced Stats,no,2,Asante Samuel Jr.A. Samuel Jr.,/nfl/player-pages/22187/asante-samuel-jr,Pittsburgh Steelers,CB,2026,65.2%,65.2%,65.2%,65.2%,65.2%,65.2%,-,
advanced-players,/nfl/advanced/players/cb/two-high-rate,Two High Rate | NFL Advanced Stats,no,3,Jalen RamseyJ. Ramsey,/nfl/player-pages/11422/jalen-ramsey,Pittsburgh Steelers,CB,2026,63.2%,63.2%,63.2%,63.2%,63.2%,63.2%,-,
advanced-players,/nfl/advanced/players/cb/two-high-rate,Two High Rate | NFL Advanced Stats,no,4,Denzel BurkeD. Burke,/nfl/player-pages/16527/denzel-burke,Arizona Cardinals,CB,2026,61.5%,61.5%,61.5%,61.5%,61.5%,-,61.5%,
advanced-players,/nfl/advanced/players/cb/two-high-rate,Two High Rate | NFL Advanced Stats,no,5,Dee AlfordD. Alford,/nfl/player-pages/12027/dee-alford,Buffalo Bills,CB,2026,61.3%,61.3%,61.3%,61.3%,61.3%,-,61.3%,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed,Yards After Catch Allowed | NFL Advanced Stats,no,1,James PierreJ. Pierre,/nfl/player-pages/18999/james-pierre,Minnesota Vikings,CB,2026,70,70,70,70,70,70,-,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed,Yards After Catch Allowed | NFL Advanced Stats,no,2,Ja'Quan McMillianJ. McMillian,/nfl/player-pages/9712/jaquan-mcmillian,Denver Broncos,CB,2026,60,60,60,60,60,-,60,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed,Yards After Catch Allowed | NFL Advanced Stats,no,3,Reed BlankenshipR. Blankenship,/nfl/player-pages/12293/reed-blankenship,Houston Texans,SAF,2026,44,44,44,44,44,44,-,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed,Yards After Catch Allowed | NFL Advanced Stats,no,4,Jordan BattleJ. Battle,/nfl/player-pages/11184/jordan-battle,Cincinnati Bengals,SAF,2026,42,42,42,42,42,42,-,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed,Yards After Catch Allowed | NFL Advanced Stats,no,5,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,41,41,41,41,41,-,41,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed-per-reception,Yards After Catch Allowed per Reception (CB) | NFL Advanced Stats,no,1,Ja'Quan McMillianJ. McMillian,/nfl/player-pages/9712/jaquan-mcmillian,Denver Broncos,CB,2026,30.0,30.0,30.0,30.0,30.0,-,30.0,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed-per-reception,Yards After Catch Allowed per Reception (CB) | NFL Advanced Stats,no,2,Jalen RamseyJ. Ramsey,/nfl/player-pages/11422/jalen-ramsey,Pittsburgh Steelers,CB,2026,27.0,27.0,27.0,27.0,27.0,27.0,-,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed-per-reception,Yards After Catch Allowed per Reception (CB) | NFL Advanced Stats,no,3,James PierreJ. Pierre,/nfl/player-pages/18999/james-pierre,Minnesota Vikings,CB,2026,23.3,23.3,23.3,23.3,23.3,23.3,-,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed-per-reception,Yards After Catch Allowed per Reception (CB) | NFL Advanced Stats,no,4,Craig WoodsonC. Woodson,/nfl/player-pages/8217/craig-woodson,New England Patriots,SAF,2026,20.5,20.5,20.5,20.5,20.5,-,20.5,
advanced-players,/nfl/advanced/players/cb/yards-after-catch-allowed-per-reception,Yards After Catch Allowed per Reception (CB) | NFL Advanced Stats,no,5,Malaki StarksM. Starks,/nfl/player-pages/17463/malaki-starks,Baltimore Ravens,SAF,2026,17.5,17.5,17.5,17.5,17.5,-,17.5,
advanced-players,/nfl/advanced/players/cb/yards-allowed,Yards Allowed | NFL Advanced Stats,no,1,Nate WigginsN. Wiggins,/nfl/player-pages/323/nate-wiggins,Baltimore Ravens,CB,2026,0,0,0,0,0,-,0,
advanced-players,/nfl/advanced/players/cb/yards-allowed,Yards Allowed | NFL Advanced Stats,no,1,Jeremy ReavesJ. Reaves,/nfl/player-pages/1769/jeremy-reaves,Washington Commanders,DB,2026,0,0,0,0,0,-,0,
advanced-players,/nfl/advanced/players/cb/yards-allowed,Yards Allowed | NFL Advanced Stats,no,1,Riq WoolenR. Woolen,/nfl/player-pages/2095/riq-woolen,Philadelphia Eagles,CB,2026,0,0,0,0,0,0,-,
advanced-players,/nfl/advanced/players/cb/yards-allowed,Yards Allowed | NFL Advanced Stats,no,1,Carlton Davis IIIC. Davis III,/nfl/player-pages/17139/carlton-davis-iii,New England Patriots,CB,2026,0,0,0,0,0,-,0,
advanced-players,/nfl/advanced/players/cb/yards-allowed,Yards Allowed | NFL Advanced Stats,no,1,Theo JacksonT. Jackson,/nfl/player-pages/19943/theo-jackson,Minnesota Vikings,DB,2026,0,0,0,0,0,0,-,
advanced-players,/nfl/advanced/players/cb/yards-per-reception-allowed,Yards per Reception Allowed | NFL Advanced Stats,no,1,Jarrian JonesJ. Jones,/nfl/player-pages/6677/jarrian-jones,Jacksonville Jaguars,CB,2026,1.0,1.0,1.0,1.0,1.0,1.0,-,
advanced-players,/nfl/advanced/players/cb/yards-per-reception-allowed,Yards per Reception Allowed | NFL Advanced Stats,no,2,Nick CrossN. Cross,/nfl/player-pages/11532/nick-cross,Washington Commanders,SAF,2026,1.3,1.3,1.3,1.3,1.3,-,1.3,
advanced-players,/nfl/advanced/players/cb/yards-per-reception-allowed,Yards per Reception Allowed | NFL Advanced Stats,no,3,Keith Abney IIK. Abney II,/nfl/player-pages/110320/keith-abney-ii,Detroit Lions,CB,2026,2.0,2.0,2.0,2.0,2.0,2.0,-,
