Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Caleb Douglas (44248166),Caleb Douglas,44248166,WR/FLEX,3900,KC@MIA 09/27/2026 01:00PM ET,MIA,9.2,Q
WR,Tre' Harris (44248168),Tre' Harris,44248168,WR/FLEX,3900,LAC@BUF 09/27/2026 01:00PM ET,LAC,5.7,
TE,Hunter Henry (44248618),Hunter Henry,44248618,TE/FLEX,3900,NE@JAX 09/27/2026 01:00PM ET,NE,6.3,
WR,Kalif Raymond (44248170),Kalif Raymond,44248170,WR/FLEX,3800,PHI@CHI 09/28/2026 08:15PM ET,CHI,12.7,
WR,Demarcus Robinson (44248172),Demarcus Robinson,44248172,WR/FLEX,3800,ARI@SF 09/27/2026 04:05PM ET,SF,9.7,OUT
WR,Jerry Jeudy (44248174),Jerry Jeudy,44248174,WR/FLEX,3800,CAR@CLE 09/27/2026 01:00PM ET,CLE,2.3,
WR,Ryan Flournoy (44248176),Ryan Flournoy,44248176,WR/FLEX,3800,BAL@DAL 09/27/2026 04:25PM ET,DAL,5.8,
TE,Pat Freiermuth (44248620),Pat Freiermuth,44248620,TE/FLEX,3800,CIN@PIT 09/27/2026 01:00PM ET,PIT,11.5,
DST,Seahawks (44248938),Seahawks,44248938,DST,3800,SEA@WAS 09/27/2026 01:00PM ET,SEA,10.5,
WR,Tutu Atwell (44248178),Tutu Atwell,44248178,WR/FLEX,3700,LAR@DEN 09/27/2026 08:20PM ET,LAR,2.9,
WR,Marvin Mims Jr. (44248180),Marvin Mims Jr.,44248180,WR/FLEX,3700,LAR@DEN 09/27/2026 08:20PM ET,DEN,0,Q
WR,Jalen Nailor (44248182),Jalen Nailor,44248182,WR/FLEX,3700,LV@NO 09/27/2026 04:25PM ET,LV,3.8,
WR,Kendrick Bourne (44248184),Kendrick Bourne,44248184,WR/FLEX,3700,ARI@SF 09/27/2026 04:05PM ET,ARI,9.3,
WR,DeMario Douglas (44248186),DeMario Douglas,44248186,WR/FLEX,3700,NE@JAX 09/27/2026 01:00PM ET,NE,4.5,
TE,Juwan Johnson (44248622),Juwan Johnson,44248622,TE/FLEX,3700,LV@NO 09/27/2026 04:25PM ET,NO,12.5,
DST,Chiefs (44248939),Chiefs,44248939,DST,3700,KC@MIA 09/27/2026 01:00PM ET,KC,6.5,
WR,Jaylin Noel (44248188),Jaylin Noel,44248188,WR/FLEX,3600,HOU@IND 09/27/2026 01:00PM ET,HOU,6.4,
WR,Cyrus Allen (44248190),Cyrus Allen,44248190,WR/FLEX,3600,KC@MIA 09/27/2026 01:00PM ET,KC,0,
WR,Jauan Jennings (44248192),Jauan Jennings,44248192,WR/FLEX,3600,MIN@TB 09/27/2026 04:05PM ET,MIN,0,
TE,Chig Okonkwo (44248624),Chig Okonkwo,44248624,TE/FLEX,3600,SEA@WAS 09/27/2026 01:00PM ET,WAS,3.6,Q
DST,49ers (44248940),49ers,44248940,DST,3600,ARI@SF 09/27/2026 04:05PM ET,SF,8,
WR,Troy Franklin (44248194),Troy Franklin,44248194,WR/FLEX,3500,LAR@DEN 09/27/2026 08:20PM ET,DEN,2.1,
WR,Jack Bech (44248196),Jack Bech,44248196,WR/FLEX,3500,LV@NO 09/27/2026 04:25PM ET,LV,7.9,
WR,Xavier Legette (44248198),Xavier Legette,44248198,WR/FLEX,3500,CAR@CLE 09/27/2026 01:00PM ET,CAR,4.2,
WR,Joshua Palmer (44248200),Joshua Palmer,44248200,WR/FLEX,3500,LAC@BUF 09/27/2026 01:00PM ET,BUF,10.9,
WR,Devontez Walker (44248202),Devontez Walker,44248202,WR/FLEX,3500,BAL@DAL 09/27/2026 04:25PM ET,BAL,5.7,
TE,Kenyon Sadiq (44248626),Kenyon Sadiq,44248626,TE/FLEX,3500,NYJ@DET 09/27/2026 01:00PM ET,NYJ,7.6,
TE,Oronde Gadsden II (44248628),Oronde Gadsden II,44248628,TE/FLEX,3500,LAC@BUF 09/27/2026 01:00PM ET,LAC,7.5,
DST,Lions (44248941),Lions,44248941,DST,3500,NYJ@DET 09/27/2026 01:00PM ET,DET,4,
WR,Darius Slayton (44270344),Darius Slayton,44270344,WR/FLEX,3500,HOU@IND 09/27/2026 01:00PM ET,IND,0,
WR,Brandin Cooks (44270346),Brandin Cooks,44270346,WR/FLEX,3500,ARI@SF 09/27/2026 04:05PM ET,SF,0,
WR,Roman Wilson (44248204),Roman Wilson,44248204,WR/FLEX,3400,CIN@PIT 09/27/2026 01:00PM ET,PIT,6.7,
WR,Isaac TeSlaa (44248206),Isaac TeSlaa,44248206,WR/FLEX,3400,NYJ@DET 09/27/2026 01:00PM ET,DET,2.3,
WR,Kyle Williams (44248208),Kyle Williams,44248208,WR/FLEX,3400,NE@JAX 09/27/2026 01:00PM ET,NE,1,
WR,Chris Bell (44248210),Chris Bell,44248210,WR/FLEX,3400,KC@MIA 09/27/2026 01:00PM ET,MIA,1.8,Q
WR,Elijah Sarratt (44248212),Elijah Sarratt,44248212,WR/FLEX,3400,BAL@DAL 09/27/2026 04:25PM ET,BAL,0,
TE,Darren Waller (44248630),Darren Waller,44248630,TE/FLEX,3400,CAR@CLE 09/27/2026 01:00PM ET,CAR,11.6,
TE,Brenton Strange (44248632),Brenton Strange,44248632,TE/FLEX,3400,NE@JAX 09/27/2026 01:00PM ET,JAX,7,
DST,Giants (44248942),Giants,44248942,DST,3400,TEN@NYG 09/27/2026 01:00PM ET,NYG,3.5,
WR,Hollywood Brown (44248214),Hollywood Brown,44248214,WR/FLEX,3300,PHI@CHI 09/28/2026 08:15PM ET,PHI,1.2,
WR,Jahdae Walker (44248216),Jahdae Walker,44248216,WR/FLEX,3300,PHI@CHI 09/28/2026 08:15PM ET,CHI,3.6,
WR,Jacob Cowing (44248218),Jacob Cowing,44248218,WR/FLEX,3300,ARI@SF 09/27/2026 04:05PM ET,SF,0,
WR,Odell Beckham Jr. (44248220),Odell Beckham Jr.,44248220,WR/FLEX,3300,TEN@NYG 09/27/2026 01:00PM ET,NYG,0,
WR,Elic Ayomanor (44248222),Elic Ayomanor,44248222,WR/FLEX,3300,TEN@NYG 09/27/2026 01:00PM ET,TEN,8.5,
WR,Deion Burks (44248224),Deion Burks,44248224,WR/FLEX,3300,HOU@IND 09/27/2026 01:00PM ET,IND,0.7,
WR,Isaiah Williams (44248226),Isaiah Williams,44248226,WR/FLEX,3300,NYJ@DET 09/27/2026 01:00PM ET,NYJ,6.3,
WR,Tyquan Thornton (44248228),Tyquan Thornton,44248228,WR/FLEX,3300,KC@MIA 09/27/2026 01:00PM ET,KC,6.3,
TE,Michael Mayer (44248634),Michael Mayer,44248634,TE/FLEX,3300,LV@NO 09/27/2026 04:25PM ET,LV,7.3,
TE,Mike Gesicki (44248636),Mike Gesicki,44248636,TE/FLEX,3300,CIN@PIT 09/27/2026 01:00PM ET,CIN,9.4,
DST,Saints (44248943),Saints,44248943,DST,3300,LV@NO 09/27/2026 04:25PM ET,NO,5,
WR,Jordan Whittington (44248230),Jordan Whittington,44248230,WR/FLEX,3200,LAR@DEN 09/27/2026 08:20PM ET,LAR,1.8,Q
